Processes,Events,Communications,Pairs,Non-pairs
5,100,50,5700,14200
5,100,50,5390,14510
5,100,50,6743,13157
5,100,50,5472,14428
5,100,50,5285,14615
5,100,50,5291,14609
5,100,50,5737,14163
5,100,50,5373,14527
5,100,50,5335,14565
5,100,50,5936,13964
5,100,50,6768,13132
5,100,50,5750,14150
5,100,50,5771,14129
5,100,50,5767,14133
5,100,50,6281,13619
5,100,50,6870,13030
5,100,50,5921,13979
5,100,50,5641,14259
5,100,50,6052,13848
5,100,50,5571,14329
5,100,50,6384,13516
5,100,50,6198,13702
5,100,50,6433,13467
5,100,50,5386,14514
5,100,50,5733,14167
5,100,50,5818,14082
5,100,50,6729,13171
5,100,50,5958,13942
5,100,50,5948,13952
5,100,50,6714,13186
5,100,50,5531,14369
5,100,50,6993,12907
5,100,50,5613,14287
5,100,50,5699,14201
5,100,50,5650,14250
5,100,50,5517,14383
5,100,50,6016,13884
5,100,50,6555,13345
5,100,50,6060,13840
5,100,50,5708,14192
5,100,50,6074,13826
5,100,50,6042,13858
5,100,50,5285,14615
5,100,100,13095,31755
5,100,100,12988,31862
5,100,100,12120,32730
5,100,100,12367,32483
5,100,100,13586,31264
5,100,100,13276,31574
5,100,100,13986,30864
5,100,100,13489,31361
5,100,100,15021,29829
5,100,100,13881,30969
